,isbn,title,authors,average_rating,image_url
0,439023483,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg
1,439554934,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,https://images.gr-assets.com/books/1474154022m/3.jpg
2,316015849,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg
3,61120081,To Kill a Mockingbird,Harper Lee,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg
4,743273567,The Great Gatsby,F. Scott Fitzgerald,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg
5,525478817,The Fault in Our Stars,John Green,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg
6,618260307,The Hobbit,J.R.R. Tolkien,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg
7,316769177,The Catcher in the Rye,J.D. Salinger,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg
8,1416524797,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg
9,679783261,Pride and Prejudice,Jane Austen,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg
10,1594480001,The Kite Runner,Khaled Hosseini,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg
11,62024035,"Divergent (Divergent, #1)",Veronica Roth,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg
12,451524934,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg
13,452284244,Animal Farm,George Orwell,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg
14,553296981,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg
15,307269752,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg
16,439023491,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg
17,043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,https://images.gr-assets.com/books/1499277281m/5.jpg
18,618346252,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg
19,439023513,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg
20,439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,https://images.gr-assets.com/books/1387141547m/2.jpg
21,316166685,The Lovely Bones,Alice Sebold,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg
22,439064864,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg
23,439139600,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,https://images.gr-assets.com/books/1361482611m/6.jpg
24,545010225,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg
25,307277674,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg
26,439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,https://images.gr-assets.com/books/1361039191m/1.jpg
27,140283331,Lord of the Flies,William Golding,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg
28,743477111,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg
29,297859382,Gone Girl,Gillian Flynn,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg
30,399155341,The Help,Kathryn Stockett,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg
31,142000671,Of Mice and Men,John Steinbeck,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg
32,739326228,Memoirs of a Geisha,Arthur Golden,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
33,1612130291,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg
34,61122416,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,https://images.gr-assets.com/books/1483412266m/865.jpg
35,385732554,"The Giver (The Giver, #1)",Lois Lowry,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg
36,60764899,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg
37,965818675,The Time Traveler's Wife,Audrey Niffenegger,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg
38,553588486,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg
39,143038419,"Eat, Pray, Love",Elizabeth Gilbert,3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg
40,786838655,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg
41,451529308,"Little Women (Little Women, #1)",Louisa May Alcott,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
42,142437204,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg
43,553816713,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg
44,770430074,Life of Pi,Yann Martel,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg
45,1565125606,Water for Elephants,Sara Gruen,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg
46,375831002,The Book Thief,Markus Zusak,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg
47,307347974,Fahrenheit 451,Ray Bradbury,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg
48,316160199,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg
49,60513039,Where the Sidewalk Ends,Shel Silverstein,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg
50,1416914285,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg
