book_id,isbn,authors,year,title,average_rating,ratings_count,image_url,cover_exists,cover
1,439023483,suzanne collins,2008,the hunger games the hunger games 1,4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg,True,the hunger games the hunger games 1 by suzanne collins.jpg
2,439554934,jk rowling mary grandpre,1997,harry potter and the sorcerers stone harry potter 1,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg,True,harry potter and the sorcerers stone harry potter 1 by jk rowling mary grandpre.jpg
3,316015849,stephenie meyer,2005,twilight twilight 1,3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg,True,twilight twilight 1 by stephenie meyer.jpg
4,61120081,harper lee,1960,to kill a mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg,True,to kill a mockingbird by harper lee.jpg
5,743273567,f scott fitzgerald,1925,the great gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg,True,the great gatsby by f scott fitzgerald.jpg
6,525478817,john green,2012,the fault in our stars,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg,True,the fault in our stars by john green.jpg
7,618260307,jrr tolkien,1937,the hobbit,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg,True,the hobbit by jrr tolkien.jpg
8,316769177,jd salinger,1951,the catcher in the rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg,True,the catcher in the rye by jd salinger.jpg
9,1416524797,dan brown,2000,angels  demons  robert langdon 1,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg,True,angels  demons  robert langdon 1 by dan brown.jpg
10,679783261,jane austen,1813,pride and prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg,True,pride and prejudice by jane austen.jpg
11,1594480001,khaled hosseini,2003,the kite runner,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg,True,the kite runner by khaled hosseini.jpg
12,62024035,veronica roth,2011,divergent divergent 1,4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg,True,divergent divergent 1 by veronica roth.jpg
13,451524934,george orwell erich fromm celal uster,1949,1984,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg,True,1984 by george orwell erich fromm celal uster.jpg
14,452284244,george orwell,1945,animal farm,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg,True,animal farm by george orwell.jpg
15,553296981,anne frank eleanor roosevelt bm mooyaartdoubleday,1947,the diary of a young girl,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg,True,the diary of a young girl by anne frank eleanor roosevelt bm mooyaartdoubleday.jpg
16,307269752,stieg larsson reg keeland,2005,the girl with the dragon tattoo millennium 1,4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg,True,the girl with the dragon tattoo millennium 1 by stieg larsson reg keeland.jpg
17,439023491,suzanne collins,2009,catching fire the hunger games 2,4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg,True,catching fire the hunger games 2 by suzanne collins.jpg
18,043965548X,jk rowling mary grandpre rufus beck,1999,harry potter and the prisoner of azkaban harry potter 3,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg,True,harry potter and the prisoner of azkaban harry potter 3 by jk rowling mary grandpre rufus beck.jpg
19,618346252,jrr tolkien,1954,the fellowship of the ring the lord of the rings 1,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg,True,the fellowship of the ring the lord of the rings 1 by jrr tolkien.jpg
20,439023513,suzanne collins,2010,mockingjay the hunger games 3,4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg,True,mockingjay the hunger games 3 by suzanne collins.jpg
21,439358078,jk rowling mary grandpre,2003,harry potter and the order of the phoenix harry potter 5,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg,True,harry potter and the order of the phoenix harry potter 5 by jk rowling mary grandpre.jpg
22,316166685,alice sebold,2002,the lovely bones,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg,True,the lovely bones by alice sebold.jpg
23,439064864,jk rowling mary grandpre,1998,harry potter and the chamber of secrets harry potter 2,4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg,True,harry potter and the chamber of secrets harry potter 2 by jk rowling mary grandpre.jpg
24,439139600,jk rowling mary grandpre,2000,harry potter and the goblet of fire harry potter 4,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg,True,harry potter and the goblet of fire harry potter 4 by jk rowling mary grandpre.jpg
25,545010225,jk rowling mary grandpre,2007,harry potter and the deathly hallows harry potter 7,4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg,True,harry potter and the deathly hallows harry potter 7 by jk rowling mary grandpre.jpg
26,307277674,dan brown,2003,the da vinci code robert langdon 2,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg,True,the da vinci code robert langdon 2 by dan brown.jpg
27,439785960,jk rowling mary grandpre,2005,harry potter and the halfblood prince harry potter 6,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg,True,harry potter and the halfblood prince harry potter 6 by jk rowling mary grandpre.jpg
28,140283331,william golding,1954,lord of the flies,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg,True,lord of the flies by william golding.jpg
29,743477111,william shakespeare robert           jackson,1595,romeo and juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg,True,romeo and juliet by william shakespeare robert           jackson.jpg
30,297859382,gillian flynn,2012,gone girl,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg,True,gone girl by gillian flynn.jpg
31,399155341,kathryn stockett,2009,the help,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg,True,the help by kathryn stockett.jpg
32,142000671,john steinbeck,1937,of mice and men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg,True,of mice and men by john steinbeck.jpg
33,739326228,arthur golden,1997,memoirs of a geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,True,memoirs of a geisha by arthur golden.jpg
34,1612130291,el james,2011,fifty shades of grey fifty shades 1,3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg,True,fifty shades of grey fifty shades 1 by el james.jpg
35,61122416,paulo coelho alan r clarke,1988,the alchemist,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg,True,the alchemist by paulo coelho alan r clarke.jpg
36,385732554,lois lowry,1993,the giver the giver 1,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg,True,the giver the giver 1 by lois lowry.jpg
37,60764899,cs lewis,1950,the lion the witch and the wardrobe chronicles of narnia 1,4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg,True,the lion the witch and the wardrobe chronicles of narnia 1 by cs lewis.jpg
38,965818675,audrey niffenegger,2003,the time travelers wife,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg,True,the time travelers wife by audrey niffenegger.jpg
39,553588486,george rr martin,1996,a game of thrones a song of ice and fire 1,4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg,True,a game of thrones a song of ice and fire 1 by george rr martin.jpg
40,143038419,elizabeth gilbert,2006,eat pray love,3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg,True,eat pray love by elizabeth gilbert.jpg
41,786838655,rick riordan,2005,the lightning thief percy jackson and the olympians 1,4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg,True,the lightning thief percy jackson and the olympians 1 by rick riordan.jpg
42,451529308,louisa may alcott,1868,little women little women 1,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,True,little women little women 1 by louisa may alcott.jpg
43,142437204,charlotte bronte michael mason,1847,jane eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg,True,jane eyre by charlotte bronte michael mason.jpg
44,553816713,nicholas sparks,1996,the notebook the notebook 1,4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg,True,the notebook the notebook 1 by nicholas sparks.jpg
45,770430074,yann martel,2001,life of pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg,True,life of pi by yann martel.jpg
46,1565125606,sara gruen,2006,water for elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg,True,water for elephants by sara gruen.jpg
47,375831002,markus zusak,2005,the book thief,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg,True,the book thief by markus zusak.jpg
49,316160199,stephenie meyer,2006,new moon twilight 2,3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg,True,new moon twilight 2 by stephenie meyer.jpg
50,60513039,shel silverstein,1974,where the sidewalk ends,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg,True,where the sidewalk ends by shel silverstein.jpg
51,1416914285,cassandra clare,2007,city of bones the mortal instruments 1,4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg,True,city of bones the mortal instruments 1 by cassandra clare.jpg
52,316160202,stephenie meyer,2007,eclipse twilight 3,3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg,True,eclipse twilight 3 by stephenie meyer.jpg
53,375826696,christopher paolini,2002,eragon the inheritance cycle 1,3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg,True,eragon the inheritance cycle 1 by christopher paolini.jpg
54,345391802,douglas adams,1979,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg,True,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1 by douglas adams.jpg
55,60929871,aldous huxley,1932,brave new world,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg,True,brave new world by aldous huxley.jpg
56,031606792X,stephenie meyer,2008,breaking dawn twilight 4,3.7,1070245,https://images.gr-assets.com/books/1361039438m/1162543.jpg,True,breaking dawn twilight 4 by stephenie meyer.jpg
57,142001740,sue monk kidd,2001,the secret life of bees,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg,True,the secret life of bees by sue monk kidd.jpg
58,142437174,mark twain john seelye guy cardwell,1884,the adventures of huckleberry finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg,True,the adventures of huckleberry finn by mark twain john seelye guy cardwell.jpg
59,64410935,eb white garth williams rosemary wells,1952,charlottes web,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg,True,charlottes web by eb white garth williams rosemary wells.jpg
60,1400032717,mark haddon,2003,the curious incident of the dog in the nighttime,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg,True,the curious incident of the dog in the nighttime by mark haddon.jpg
61,1594633665,paula hawkins,2015,the girl on the train,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg,True,the girl on the train by paula hawkins.jpg
62,679879242,philip pullman,1995,the golden compass his dark materials 1,3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg,True,the golden compass his dark materials 1 by philip pullman.jpg
63,393978893,emily bronte richard j dunn,1847,wuthering heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,True,wuthering heights by emily bronte richard j dunn.jpg
64,743454537,jodi picoult,2004,my sisters keeper,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg,True,my sisters keeper by jodi picoult.jpg
65,385333846,kurt vonnegut jr,1969,slaughterhousefive,4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg,True,slaughterhousefive by kurt vonnegut jr.jpg
66,446675539,margaret mitchell,1936,gone with the wind,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg,True,gone with the wind by margaret mitchell.jpg
67,1594489505,khaled hosseini,2007,a thousand splendid suns,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg,True,a thousand splendid suns by khaled hosseini.jpg
68,671027344,stephen chbosky,1999,the perks of being a wallflower,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg,True,the perks of being a wallflower by stephen chbosky.jpg
69,7442912,veronica roth,2012,insurgent divergent 2,4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg,True,insurgent divergent 2 by veronica roth.jpg
70,812550706,orson scott card,1985,enders game enders saga 1,4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg,True,enders game enders saga 1 by orson scott card.jpg
71,141439475,mary wollstonecraft shelley percy bysshe shelley maurice hindle,1818,frankenstein,3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg,True,frankenstein by mary wollstonecraft shelley percy bysshe shelley maurice hindle.jpg
72,450040186,stephen king,1977,the shining the shining 1,4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg,True,the shining the shining 1 by stephen king.jpg
73,316068047,stephenie meyer,2008,the host the host 1,3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg,True,the host the host 1 by stephenie meyer.jpg
74,142402516,john green,2005,looking for alaska,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg,True,looking for alaska by john green.jpg
75,014028009X,helen fielding,1996,bridget joness diary bridget jones 1,3.75,736498,https://images.gr-assets.com/books/1292060045m/227443.jpg,True,bridget joness diary bridget jones 1 by helen fielding.jpg
76,141439661,jane austen tony tanner ros ballaster,1811,sense and sensibility,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg,True,sense and sensibility by jane austen tony tanner ros ballaster.jpg
77,439244196,louis sachar louis sachar,1998,holes holes 1,3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg,True,holes holes 1 by louis sachar louis sachar.jpg
78,307275558,lauren weisberger,2003,the devil wears prada the devil wears prada 1,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,True,the devil wears prada the devil wears prada 1 by lauren weisberger.jpg
79,143039954,homer robert fagles ev rieu frederic mugler bernard knox,0,the odyssey,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg,True,the odyssey by homer robert fagles ev rieu frederic mugler bernard knox.jpg
80,156012197,antoine de saintexupery richard howard dom marcos barbosa melina karakosta,1946,the little prince,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg,True,the little prince by antoine de saintexupery richard howard dom marcos barbosa melina karakosta.jpg
81,074324754X,jeannette walls,2005,the glass castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg,True,the glass castle by jeannette walls.jpg
82,385486804,jon krakauer,1996,into the wild,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg,True,into the wild by jon krakauer.jpg
83,141439602,charles dickens richard maxwell hablot knight browne,1859,a tale of two cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg,True,a tale of two cities by charles dickens richard maxwell hablot knight browne.jpg
85,60256656,shel silverstein,1964,the giving tree,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg,True,the giving tree by shel silverstein.jpg
86,385338600,john grisham,1989,a time to kill,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,True,a time to kill by john grisham.jpg
87,374500010,elie wiesel marion wiesel,1958,night the night trilogy 1,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg,True,night the night trilogy 1 by elie wiesel marion wiesel.jpg
88,014241493X,john green,2008,paper towns,3.88,461311,https://images.gr-assets.com/books/1349013610m/6442769.jpg,True,paper towns by john green.jpg
89,345418263,william goldman,1973,the princess bride,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg,True,the princess bride by william goldman.jpg
90,014038572X,se hinton,1967,the outsiders,4.06,659248,https://images.gr-assets.com/books/1442129426m/231804.jpg,True,the outsiders by se hinton.jpg
91,385737947,james dashner,2009,the maze runner maze runner 1,4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg,True,the maze runner maze runner 1 by james dashner.jpg
92,61234001,steven d levitt stephen j dubner,2005,freakonomics a rogue economist explores the hidden side of everything freakonomics 1,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg,True,freakonomics a rogue economist explores the hidden side of everything freakonomics 1 by steven d levitt stephen j dubner.jpg
93,517189607,frances hodgson burnett,1911,the secret garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg,True,the secret garden by frances hodgson burnett.jpg
94,60531045,gabriel garcia marquez gregory rabassa,1967,one hundred years of solitude,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg,True,one hundred years of solitude by gabriel garcia marquez gregory rabassa.jpg
95,375751513,oscar wilde jeffrey eugenides,1891,the picture of dorian gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg,True,the picture of dorian gray by oscar wilde jeffrey eugenides.jpg
96,345803507,el james,2012,fifty shades freed fifty shades 3,3.88,387290,https://images.gr-assets.com/books/1336418837m/13536860.jpg,True,fifty shades freed fifty shades 3 by el james.jpg
97,393970124,bram stoker nina auerbach david j skal,1897,dracula,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg,True,dracula by bram stoker nina auerbach david j skal.jpg
98,307269981,stieg larsson reg keeland,2006,the girl who played with fire millennium 2,4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg,True,the girl who played with fire millennium 2 by stieg larsson reg keeland.jpg
99,1612130585,el james,2011,fifty shades darker fifty shades 2,3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg,True,fifty shades darker fifty shades 2 by el james.jpg
100,60786507,barbara kingsolver,1998,the poisonwood bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg,True,the poisonwood bible by barbara kingsolver.jpg
101,349113912,david sedaris,2000,me talk pretty one day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,True,me talk pretty one day by david sedaris.jpg
102,99408392,maurice sendak,1963,where the wild things are,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg,True,where the wild things are by maurice sendak.jpg
