book_id,isbn,authors,year,title,average_rating,ratings_count,cover,height,width
1,439023483,suzanne collins,2008,the hunger games the hunger games 1,4.34,4780653,the hunger games the hunger games 1 by suzanne collins.jpg,149,98
2,439554934,jk rowling mary grandpre,1997,harry potter and the sorcerers stone harry potter 1,4.44,4602479,harry potter and the sorcerers stone harry potter 1 by jk rowling mary grandpre.jpg,149,98
3,316015849,stephenie meyer,2005,twilight twilight 1,3.57,3866839,twilight twilight 1 by stephenie meyer.jpg,149,98
4,61120081,harper lee,1960,to kill a mockingbird,4.25,3198671,to kill a mockingbird by harper lee.jpg,149,98
5,743273567,f scott fitzgerald,1925,the great gatsby,3.89,2683664,the great gatsby by f scott fitzgerald.jpg,149,98
6,525478817,john green,2012,the fault in our stars,4.26,2346404,the fault in our stars by john green.jpg,149,98
7,618260307,jrr tolkien,1937,the hobbit,4.25,2071616,the hobbit by jrr tolkien.jpg,149,98
8,316769177,jd salinger,1951,the catcher in the rye,3.79,2044241,the catcher in the rye by jd salinger.jpg,149,98
9,1416524797,dan brown,2000,angels  demons  robert langdon 1,3.85,2001311,angels  demons  robert langdon 1 by dan brown.jpg,149,98
10,679783261,jane austen,1813,pride and prejudice,4.24,2035490,pride and prejudice by jane austen.jpg,149,98
11,1594480001,khaled hosseini,2003,the kite runner,4.26,1813044,the kite runner by khaled hosseini.jpg,149,98
12,62024035,veronica roth,2011,divergent divergent 1,4.24,1903563,divergent divergent 1 by veronica roth.jpg,149,98
13,451524934,george orwell erich fromm celal uster,1949,1984,4.14,1956832,1984 by george orwell erich fromm celal uster.jpg,149,98
14,452284244,george orwell,1945,animal farm,3.87,1881700,animal farm by george orwell.jpg,149,98
15,553296981,anne frank eleanor roosevelt bm mooyaartdoubleday,1947,the diary of a young girl,4.1,1972666,the diary of a young girl by anne frank eleanor roosevelt bm mooyaartdoubleday.jpg,149,98
16,307269752,stieg larsson reg keeland,2005,the girl with the dragon tattoo millennium 1,4.11,1808403,the girl with the dragon tattoo millennium 1 by stieg larsson reg keeland.jpg,149,98
17,439023491,suzanne collins,2009,catching fire the hunger games 2,4.3,1831039,catching fire the hunger games 2 by suzanne collins.jpg,149,98
18,043965548X,jk rowling mary grandpre rufus beck,1999,harry potter and the prisoner of azkaban harry potter 3,4.53,1832823,harry potter and the prisoner of azkaban harry potter 3 by jk rowling mary grandpre rufus beck.jpg,149,98
19,618346252,jrr tolkien,1954,the fellowship of the ring the lord of the rings 1,4.34,1766803,the fellowship of the ring the lord of the rings 1 by jrr tolkien.jpg,149,98
20,439023513,suzanne collins,2010,mockingjay the hunger games 3,4.03,1719760,mockingjay the hunger games 3 by suzanne collins.jpg,149,98
21,439358078,jk rowling mary grandpre,2003,harry potter and the order of the phoenix harry potter 5,4.46,1735368,harry potter and the order of the phoenix harry potter 5 by jk rowling mary grandpre.jpg,149,98
22,316166685,alice sebold,2002,the lovely bones,3.77,1605173,the lovely bones by alice sebold.jpg,149,98
23,439064864,jk rowling mary grandpre,1998,harry potter and the chamber of secrets harry potter 2,4.37,1779331,harry potter and the chamber of secrets harry potter 2 by jk rowling mary grandpre.jpg,149,98
24,439139600,jk rowling mary grandpre,2000,harry potter and the goblet of fire harry potter 4,4.53,1753043,harry potter and the goblet of fire harry potter 4 by jk rowling mary grandpre.jpg,149,98
25,545010225,jk rowling mary grandpre,2007,harry potter and the deathly hallows harry potter 7,4.61,1746574,harry potter and the deathly hallows harry potter 7 by jk rowling mary grandpre.jpg,149,98
26,307277674,dan brown,2003,the da vinci code robert langdon 2,3.79,1447148,the da vinci code robert langdon 2 by dan brown.jpg,149,98
27,439785960,jk rowling mary grandpre,2005,harry potter and the halfblood prince harry potter 6,4.54,1678823,harry potter and the halfblood prince harry potter 6 by jk rowling mary grandpre.jpg,149,98
28,140283331,william golding,1954,lord of the flies,3.64,1605019,lord of the flies by william golding.jpg,149,98
29,743477111,william shakespeare robert           jackson,1595,romeo and juliet,3.73,1628519,romeo and juliet by william shakespeare robert           jackson.jpg,149,98
