book_id,isbn,authors,year,title,average_rating,ratings_count,image_url
1,439023483,suzanne collins,2008,the hunger games the hunger games 1,4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,439554934,jk rowling mary grandpre,1997,harry potter and the sorcerers stone harry potter 1,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg
3,316015849,stephenie meyer,2005,twilight twilight 1,3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,61120081,harper lee,1960,to kill a mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,743273567,f scott fitzgerald,1925,the great gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,525478817,john green,2012,the fault in our stars,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,618260307,jrr tolkien,1937,the hobbit,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,316769177,jd salinger,1951,the catcher in the rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,1416524797,dan brown,2000,angels  demons  robert langdon 1,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg
10,679783261,jane austen,1813,pride and prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,1594480001,khaled hosseini,2003,the kite runner,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,62024035,veronica roth,2011,divergent divergent 1,4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,451524934,george orwell erich fromm celal uster,1949,1984,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,452284244,george orwell,1945,animal farm,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,553296981,anne frank eleanor roosevelt bm mooyaartdoubleday,1947,the diary of a young girl,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,307269752,stieg larsson reg keeland,2005,the girl with the dragon tattoo millennium 1,4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,439023491,suzanne collins,2009,catching fire the hunger games 2,4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,043965548X,jk rowling mary grandpre rufus beck,1999,harry potter and the prisoner of azkaban harry potter 3,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg
19,618346252,jrr tolkien,1954,the fellowship of the ring the lord of the rings 1,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg
20,439023513,suzanne collins,2010,mockingjay the hunger games 3,4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,439358078,jk rowling mary grandpre,2003,harry potter and the order of the phoenix harry potter 5,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg
22,316166685,alice sebold,2002,the lovely bones,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,439064864,jk rowling mary grandpre,1998,harry potter and the chamber of secrets harry potter 2,4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,439139600,jk rowling mary grandpre,2000,harry potter and the goblet of fire harry potter 4,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg
25,545010225,jk rowling mary grandpre,2007,harry potter and the deathly hallows harry potter 7,4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,307277674,dan brown,2003,the da vinci code robert langdon 2,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
27,439785960,jk rowling mary grandpre,2005,harry potter and the halfblood prince harry potter 6,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
28,140283331,william golding,1954,lord of the flies,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,743477111,william shakespeare robert           jackson,1595,romeo and juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,297859382,gillian flynn,2012,gone girl,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,399155341,kathryn stockett,2009,the help,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,142000671,john steinbeck,1937,of mice and men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
33,739326228,arthur golden,1997,memoirs of a geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,1612130291,el james,2011,fifty shades of grey fifty shades 1,3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,61122416,paulo coelho alan r clarke,1988,the alchemist,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
36,385732554,lois lowry,1993,the giver the giver 1,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,60764899,cs lewis,1950,the lion the witch and the wardrobe chronicles of narnia 1,4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,965818675,audrey niffenegger,2003,the time travelers wife,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,553588486,george rr martin,1996,a game of thrones a song of ice and fire 1,4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,143038419,elizabeth gilbert,2006,eat pray love,3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,786838655,rick riordan,2005,the lightning thief percy jackson and the olympians 1,4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,451529308,louisa may alcott,1868,little women little women 1,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,142437204,charlotte bronte michael mason,1847,jane eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,553816713,nicholas sparks,1996,the notebook the notebook 1,4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,770430074,yann martel,2001,life of pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,1565125606,sara gruen,2006,water for elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,375831002,markus zusak,2005,the book thief,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg
49,316160199,stephenie meyer,2006,new moon twilight 2,3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,60513039,shel silverstein,1974,where the sidewalk ends,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,1416914285,cassandra clare,2007,city of bones the mortal instruments 1,4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,316160202,stephenie meyer,2007,eclipse twilight 3,3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,375826696,christopher paolini,2002,eragon the inheritance cycle 1,3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,345391802,douglas adams,1979,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
55,60929871,aldous huxley,1932,brave new world,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,031606792X,stephenie meyer,2008,breaking dawn twilight 4,3.7,1070245,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,142001740,sue monk kidd,2001,the secret life of bees,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,142437174,mark twain john seelye guy cardwell,1884,the adventures of huckleberry finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,64410935,eb white garth williams rosemary wells,1952,charlottes web,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,1400032717,mark haddon,2003,the curious incident of the dog in the nighttime,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,1594633665,paula hawkins,2015,the girl on the train,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,679879242,philip pullman,1995,the golden compass his dark materials 1,3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,393978893,emily bronte richard j dunn,1847,wuthering heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,743454537,jodi picoult,2004,my sisters keeper,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,385333846,kurt vonnegut jr,1969,slaughterhousefive,4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,446675539,margaret mitchell,1936,gone with the wind,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,1594489505,khaled hosseini,2007,a thousand splendid suns,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,671027344,stephen chbosky,1999,the perks of being a wallflower,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,7442912,veronica roth,2012,insurgent divergent 2,4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,812550706,orson scott card,1985,enders game enders saga 1,4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,141439475,mary wollstonecraft shelley percy bysshe shelley maurice hindle,1818,frankenstein,3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,450040186,stephen king,1977,the shining the shining 1,4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,316068047,stephenie meyer,2008,the host the host 1,3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,142402516,john green,2005,looking for alaska,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,014028009X,helen fielding,1996,bridget joness diary bridget jones 1,3.75,736498,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,141439661,jane austen tony tanner ros ballaster,1811,sense and sensibility,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,439244196,louis sachar louis sachar,1998,holes holes 1,3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,307275558,lauren weisberger,2003,the devil wears prada the devil wears prada 1,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,143039954,homer robert fagles ev rieu frederic mugler bernard knox,0,the odyssey,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,156012197,antoine de saintexupery richard howard dom marcos barbosa melina karakosta,1946,the little prince,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,074324754X,jeannette walls,2005,the glass castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,385486804,jon krakauer,1996,into the wild,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,141439602,charles dickens richard maxwell hablot knight browne,1859,a tale of two cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
85,60256656,shel silverstein,1964,the giving tree,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,385338600,john grisham,1989,a time to kill,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,374500010,elie wiesel marion wiesel,1958,night the night trilogy 1,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,014241493X,john green,2008,paper towns,3.88,461311,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,345418263,william goldman,1973,the princess bride,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,014038572X,se hinton,1967,the outsiders,4.06,659248,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,385737947,james dashner,2009,the maze runner maze runner 1,4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,61234001,steven d levitt stephen j dubner,2005,freakonomics a rogue economist explores the hidden side of everything freakonomics 1,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,517189607,frances hodgson burnett,1911,the secret garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,60531045,gabriel garcia marquez gregory rabassa,1967,one hundred years of solitude,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
95,375751513,oscar wilde jeffrey eugenides,1891,the picture of dorian gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,345803507,el james,2012,fifty shades freed fifty shades 3,3.88,387290,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,393970124,bram stoker nina auerbach david j skal,1897,dracula,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,307269981,stieg larsson reg keeland,2006,the girl who played with fire millennium 2,4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,1612130585,el james,2011,fifty shades darker fifty shades 2,3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,60786507,barbara kingsolver,1998,the poisonwood bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,349113912,david sedaris,2000,me talk pretty one day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,99408392,maurice sendak,1963,where the wild things are,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,140449264,alexandre dumas robin buss,1844,the count of monte cristo,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,307265439,cormac mccarthy,2006,the road,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,7524277,veronica roth,2013,allegiant divergent 3,3.63,463257,https://images.gr-assets.com/books/1395582745m/18710190.jpg
107,446693804,nicholas sparks,1999,a walk to remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,440241413,sophie kinsella,2000,confessions of a shopaholic shopaholic 1,3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,451525264,victor hugo lee fahnestock norman macafee,1862,les miserables,4.14,513407,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,553381695,george rr martin,1998,a clash of kings  a song of ice and fire 2,4.4,523303,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,143037145,kim edwards,2005,the memory keepers daughter,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,670026603,jojo moyes,2012,me before you me before you 1,4.27,587647,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,684833395,joseph heller,1961,catch22,3.98,563265,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,751529818,mitch albom saulius dagys,1997,tuesdays with morrie,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,312422156,jeffrey eugenides,2002,middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,143039563,mark twain guy cardwell john seelye,1876,the adventures of tom sawyer,3.89,555359,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,440498058,madeleine lengle,1962,a wrinkle in time a wrinkle in time quintet 1,4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,143038095,amy tan,1989,the joy luck club,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,038549081X,margaret atwood,1985,the handmaids tale,4.06,607889,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,385729332,ann brashares,2001,the sisterhood of the traveling pants sisterhood 1,3.75,525706,https://images.gr-assets.com/books/1461611233m/452306.jpg
122,60987103,gregory maguire douglas smith,1995,wicked the life and times of the wicked witch of the west the wicked years 1,3.52,506900,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,582418275,john grisham,1991,the firm penguin readers level 5,3.99,488269,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,316098337,emma donoghue,2010,room,4.03,511360,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,521618746,william shakespeare richard andrews rex gibson,1600,hamlet,4.0,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,340839937,frank herbert,1965,dune dune chronicles 1,4.19,485032,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,316346624,malcolm gladwell,2000,the tipping point how little things can make a big difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,1451648537,walter isaacson,2011,steve jobs,4.09,560715,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,451163966,ken kesey,1962,one flew over the cuckoos nest,4.18,491642,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,684830493,ernest hemingway,1952,the old man and the sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,142000663,john steinbeck,1939,the grapes of wrath,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,1401308589,mitch albom,2003,the five people you meet in heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,451528824,lm montgomery,1908,anne of green gables anne of green gables 1,4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,1416914307,cassandra clare,2009,city of glass the mortal instruments 3,4.34,593173,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,055357342X,george rr martin,2000,a storm of swords a song of ice and fire 3,4.54,469022,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,006075995X,rebecca wells,1996,divine secrets of the yaya sisterhood,3.79,465676,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,440242940,diana gabaldon,1991,outlander outlander 1,4.2,515547,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,142437263,nathaniel hawthorne thomas e connolly nina baym,1850,the scarlet letter,3.37,509883,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,1594744769,ransom riggs,2011,miss peregrines home for peculiar children miss peregrines peculiar children 1,3.89,613674,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,030726999X,stieg larsson reg keeland,2007,the girl who kicked the hornets nest millennium 3,4.2,443951,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,804139024,andy weir,2012,the martian,4.39,423344,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,451207149,ken follett,1989,the pillars of the earth the kingsbridge series 1,4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,1476746583,anthony doerr,2014,all the light we cannot see,4.31,470001,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,1400064163,laura hillenbrand,2010,unbroken a world war ii story of survival resilience and redemption,4.4,487775,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,671027387,dan brown,2001,deception point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,316055433,donna tartt,2013,the goldfinch,3.87,396756,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,1595141715,jay asher,2007,thirteen reasons why,4.02,463783,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,452287022,tracy chevalier,1999,girl with a pearl earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,525421033,gayle forman,2009,if i stay if i stay 1,3.96,503527,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,312353766,anita diamant,1997,the red tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,786856866,rick riordan,2006,the sea of monsters percy jackson and the olympians 2,4.23,514932,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,446528056,nicholas sparks,2006,dear john,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,1416914293,cassandra clare,2008,city of ashes the mortal instruments 2,4.21,541117,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,743477103,william shakespeare,1606,macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,618346260,jrr tolkien,1954,the two towers the lord of the rings 2,4.42,480446,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,031232118X,emily giffin,2004,something borrowed darcy  rachel 1,3.83,403601,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,394800168,dr seuss lh nvr,1960,green eggs and ham,4.29,457475,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,142403881,roald dahl quentin blake,1964,charlie and the chocolate factory charlie bucket 1,4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,1423101464,rick riordan,2008,the battle of the labyrinth percy jackson and the olympians 4,4.39,508214,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,192833596,charles dickens,1860,great expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,345339738,jrr tolkien,1955,the return of the king the lord of the rings 3,4.51,463959,https://images.gr-assets.com/books/1389977161m/18512.jpg
163,142311339X,rick riordan,2010,the lost hero the heroes of olympus 1,4.35,271576,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,1250012570,rainbow rowell,2013,eleanor  park,4.11,514312,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,055358202X,george rr martin,2005,a feast for crows a song of ice and fire 4,4.1,428186,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,525423648,ally condie,2010,matched matched 1,3.68,511815,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,747263744,neil gaiman,2001,american gods american gods 1,4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,385199570,stephen king bernie wrightson,1978,the stand,4.34,438832,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,446547565,nicholas sparks,2008,the last song,4.14,424637,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,552151696,dan brown,1998,digital fortress,3.6,423019,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,141439580,jane austen fiona stafford,1815,emma,3.99,459826,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,345803922,leo tolstoy louise maude leo tolstoj aylmer maude,1877,anna karenina,4.02,297472,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,393312836,anthony burgess,1962,a clockwork orange,3.98,431195,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,964729237,william paul young,2007,the shack,3.74,419539,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,739380338,rick riordan,2009,the last olympian percy jackson and the olympians 5,4.5,397500,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,451169514,stephen king,1986,it,4.18,292592,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,143058142,fyodor dostoyevsky david mcduff,1866,crime and punishment,4.18,380903,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,61148512,sylvia plath,1963,the bell jar,3.98,401605,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,7205236,frank mccourt,1996,angelas ashes frank mccourt 1,4.07,392103,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,553208845,hermann hesse hilda rosner,1922,siddhartha,3.99,372099,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,679745580,truman capote,1965,in cold blood,4.05,381652,https://images.gr-assets.com/books/1424931136m/168642.jpg
